s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106
metab_306	0.0095729891	0.0104210460	0.0112620358	0.0161441660	0.0100166276	0.0098865129	0.0117883221	0.0124798839	0.0102170474	0.0102880150	0.0110830440	0.0136188744	0.0090613043	0.0608048658	0.0107760128	0.0154351271	0.0100166276	0.0075266672	0.0114910879	0.0124798839	0.0091197623	0.0113800662	0.0098865129	0.0091853707	0.0122842585	0.0116624631	0.0104798698	-0.0024371070	0.0119869251	0.0113215068	0.0094475333	0.0070210687	-0.0035747009	0.0100847277	0.0100166276	0.0090613043	0.0102880150	0.0089792290	0.0118622006	0.0067561340	0.0089792290	0.0116021383	0.0113800662	0.0093903816	0.0105501133	0.0091197623	0.0104210460	0.0118622006	0.0108380044	0.0117883221	0.0128722727	0.0098865129	0.0100847277	0.0099417520	0.0119308215	0.0107121936	0.0130562852	0.0132475220	0.0100166276	0.0089792290	0.0088982039	0.0080095008	0.0096888852	0.0098865129	0.0146999258	0.0100847277	0.0139572596	0.0086856811	0.0143393943	0.0093262395	0.0091197623	0.0108974158	0.0346346993	0.0122351475	0.0102880150	0.0172643335	0.0111932473	0.0098865129	0.0110176763	0.0067561340	0.0137422353	0.0109609064	0.0128129204	0.0107121936	0.0088982039	0.0106603087	0.0105501133	0.0125463243	0.0114338159	0.0133704204	0.0111932473	0.0102880150	0.0102880150	0.0105501133	0.0124798839	0.0081486968	0.0100166276	0.0114338159	-0.0022084074	0.0104210460	0.0095729891	0.0169875591	0.0104210460	0.0121767064	0.0096353156	0.0101512557
metab_307	0.0126201635	0.0161441660	0.0144709287	0.0221613273	0.0132475220	0.0107121936	0.0129902687	0.0116021383	0.0129289970	0.0131275060	0.0135574934	0.0147673219	0.0106015900	0.0592661806	0.0137422353	0.0508309361	0.0132475220	0.0098865129	0.0631372286	0.0181663721	0.0122351475	0.0696062125	0.0325063881	0.0117264219	0.0631372286	0.0190297792	0.0106015900	-0.0024877376	0.0131891399	0.0294477923	0.0140804469	0.0072694309	-0.0034259842	0.0156845850	0.0174624788	0.0102880150	0.0115480743	0.0109609064	0.0191574645	0.0497208893	0.0113215068	0.0189078868	0.0162206993	0.0170640398	0.0144012038	0.0175617873	0.0124798839	0.0128722727	0.0168094040	0.0186887648	0.0218982216	0.0270553514	0.0184699191	0.0165537193	0.0238628970	0.0179718681	0.0438646772	0.0167208765	0.0134928795	0.0120497320	0.0078616319	0.0122351475	0.0148275209	0.0111932473	0.0174624788	0.0121154316	0.0946398049	0.0103482174	0.0183849570	0.0121767064	0.0532421265	0.0158454262	0.0380051781	0.0129289970	0.0116021383	0.0215933954	0.0137422353	0.0215933954	0.0158454262	0.0121767064	0.0143393943	0.0131275060	0.0190297792	0.0142768793	0.0153466817	0.0195238095	0.0124798839	0.0170640398	0.0176612106	0.0138833772	0.0201356671	0.0128129204	0.0106603087	0.0115480743	0.0202506458	0.0202506458	0.0213061779	0.0117264219	-0.0022376952	0.0205053922	0.0145418041	0.0264343948	0.0217398725	0.0129902687	0.0147673219	0.0220382252
metab_308	0.0164764453	0.0138833772	0.0163006330	0.0148275209	0.0107760128	0.0077813241	0.0164764453	0.0129902687	0.0122842585	0.0200302499	0.0106603087	0.0113215068	0.0107760128	0.0178759195	0.0125463243	0.0262524087	0.0125463243	0.0127446401	0.0198950086	0.0159207814	0.0119869251	0.0176612106	0.0164764453	0.0201356671	0.0177814952	0.0376991713	0.0129902687	-0.0023361113	0.0128722727	0.0144012038	0.0155232043	0.0108380044	-0.0026827697	0.0136188744	0.0144709287	0.0096888852	0.0091853707	0.0097615275	0.0140804469	0.0227357851	0.0106015900	0.0119869251	0.0111932473	0.0127446401	0.0124153225	0.0109609064	0.0125463243	0.0106015900	0.0137422353	0.0136188744	0.0220382252	0.0144012038	0.0178759195	0.0132475220	0.0244055291	0.0140267658	0.0175617873	0.0135574934	0.0116021383	0.0104798698	0.0136188744	0.0133704204	0.0121767064	0.0101512557	0.0133037054	0.0256925192	0.0177814952	0.0155232043	0.0173505056	0.0134928795	0.0151143104	0.0147673219	0.0335329923	0.0148841892	0.0131275060	0.0136840174	0.0114338159	0.0163800634	0.0131891399	0.0134368185	0.0156111207	0.0128129204	0.0155232043	0.0138833772	0.0126782775	0.0162206993	0.0113215068	0.0156845850	0.0161441660	0.0124798839	0.0156111207	0.0105501133	0.0167208765	0.0102170474	0.0135574934	0.0159908512	0.0141462624	0.0116021383	-0.0015461874	0.0156845850	0.0133704204	0.0292553574	0.0164764453	0.0122351475	0.0106603087	0.0126201635
metab_309	0.0160749424	0.0119308215	0.0126782775	0.0104798698	0.0074425224	0.0054326465	0.0128722727	0.0109609064	0.0118622006	0.0210511503	0.0071923365	0.0071923365	0.0091853707	0.0156111207	0.0077813241	0.0093262395	0.0072694309	0.0126782775	0.0079401051	0.0122842585	0.0096353156	0.0096353156	0.0089792290	0.0065646547	0.0085578962	0.0091197623	0.0100847277	-0.0026827697	0.0098865129	0.0085578962	0.0093262395	0.0040929577	-0.0038823858	0.0069345287	0.0094475333	0.0070210687	0.0069345287	0.0094475333	0.0110176763	0.0165537193	0.0062766005	0.0081486968	0.0076950019	0.0086856811	0.0088982039	0.0056585384	0.0108974158	0.0067561340	0.0106015900	0.0089792290	0.0082908074	0.0070210687	0.0087606527	0.0095097566	0.0072694309	0.0065646547	0.0087606527	0.0104210460	0.0053353272	0.0093262395	0.0077813241	0.0113800662	0.0089792290	0.0080739199	0.0099417520	0.0123523443	0.0076950019	0.0197694458	0.0154351271	0.0106015900	0.0099417520	0.0110830440	0.0268493567	0.0128722727	0.0093903816	0.0093262395	0.0066487575	0.0061937443	0.0062766005	0.0049532363	0.0117264219	0.0096888852	0.0092458989	0.0084886924	0.0083600368	0.0107121936	0.0083600368	0.0096353156	0.0128129204	0.0067561340	0.0109609064	0.0061937443	0.0093262395	0.0084202327	0.0071923365	0.0045245952	0.0052456342	0.0087606527	-0.0023071277	0.0065646547	0.0048539338	0.0091197623	0.0108380044	0.0071923365	0.0066487575	0.0086856811
metab_310	0.0715918827	0.0112620358	0.0420186411	0.0115480743	0.0487355264	0.0055541037	0.0408923697	0.0292553574	0.0312623322	0.0571331475	0.0579356966	0.0470524529	0.0676804635	0.0492670889	0.0094475333	0.0276490751	0.0068397081	0.0725910699	0.0367235040	0.0470524529	0.0191574645	0.0946398049	0.0408923697	0.0061937443	0.0343813168	0.0240321867	0.0476357158	-0.0027769461	0.0357790195	0.0456307314	0.0330269729	0.0033025825	-0.0023361113	0.0229121943	0.0075266672	0.0376991713	0.0624114457	0.0270553514	0.0532421265	0.1149794500	0.0061937443	0.0631372286	0.0587102623	0.0083600368	0.0648612767	0.0412814654	0.0089792290	0.0054326465	0.0774386618	0.0520599542	0.0341052544	0.0138833772	0.0470524529	0.0412814654	0.0181663721	0.0322858228	0.0355104814	0.0676804635	0.0211875769	0.0470524529	0.0044348074	0.0086856811	0.0587102623	0.0310136052	0.0532421265	0.0270553514	0.0380051781	0.0658963682	0.0592661806	0.0360668420	0.0461253984	0.0821906858	0.0284318507	0.0122842585	0.0107760128	0.0071082318	0.0374277797	0.0206335671	0.0069345287	0.0073536511	0.0142768793	0.0288529740	0.0148275209	0.0370393006	0.0131275060	0.0352352441	0.0416476440	0.0280559569	0.0091853707	0.0171681775	0.0270553514	0.0079401051	0.0248460530	0.0217398725	0.0149579058	0.0147673219	0.0325063881	0.0363748800	-0.0018547889	0.0164764453	0.0168094040	0.0072694309	0.0520599542	0.0349405324	0.0284318507	0.0367235040
metab_311	0.0082257108	0.0084886924	0.0081486968	0.0060995675	0.0075266672	0.0066487575	0.0136188744	0.0086156433	0.0088212964	0.0091853707	0.0091197623	0.0098214013	0.0079401051	0.0087606527	0.0074425224	0.0112620358	0.0062766005	0.0071923365	0.0102880150	0.0096353156	0.0061937443	0.0175617873	0.0090613043	0.0071082318	0.0131275060	0.0111932473	0.0060995675	-0.0026217018	0.0063704288	0.0096888852	0.0074425224	0.0038732465	-0.0037098023	0.0090613043	0.0072694309	0.0083600368	0.0102170474	0.0066487575	0.0083600368	0.0089792290	0.0077813241	0.0093903816	0.0088982039	0.0088212964	0.0098865129	0.0076057329	0.0065646547	0.0064591922	0.0133037054	0.0091853707	0.0074425224	0.0062766005	0.0096353156	0.0084886924	0.0089792290	0.0088982039	0.0117264219	0.0111932473	0.0117883221	0.0103482174	0.0046832488	0.0046033434	0.0086856811	0.0087606527	0.0149579058	0.0057614846	0.0119308215	0.0089792290	0.0094475333	0.0064591922	0.0210511503	0.0098214013	0.0229121943	0.0098865129	0.0073536511	0.0071923365	0.0097615275	0.0101512557	0.0091197623	0.0088212964	0.0237017577	0.0088212964	0.0086856811	0.0097615275	0.0092458989	0.0084202327	0.0103482174	0.0095729891	0.0084202327	0.0071082318	0.0088212964	0.0066487575	0.0077813241	0.0095097566	0.0080739199	0.0060995675	0.0086156433	0.0101512557	-0.0026217018	0.0077813241	0.0061937443	0.0059970735	0.0102170474	0.0104210460	0.0081486968	0.0083600368
metab_312	0.0075266672	0.0090613043	0.0096353156	0.0075266672	0.0084886924	0.0067561340	0.0101512557	0.0106603087	0.0098214013	0.0119869251	0.0100166276	0.0091853707	0.0075266672	0.0089792290	0.0100166276	0.0135574934	0.0070210687	0.0057614846	0.0088982039	0.0083600368	0.0067561340	0.0111382187	0.0086156433	0.0088212964	0.0107121936	0.0157574793	0.0072694309	-0.0028694225	0.0078616319	0.0104798698	0.0089792290	0.0052456342	-0.0041687712	0.0092458989	0.0087606527	0.0087606527	0.0075266672	0.0074425224	0.0085578962	0.0071082318	0.0082257108	0.0095729891	0.0102880150	0.0090613043	0.0098214013	0.0065646547	0.0072694309	0.0077813241	0.0097615275	0.0100166276	0.0089792290	0.0068397081	0.0131275060	0.0089792290	0.0124153225	0.0091197623	0.0113215068	0.0110830440	0.0172643335	0.0093903816	0.0071082318	0.0055541037	0.0079401051	0.0096353156	0.0134928795	0.0099417520	0.0115480743	0.0079401051	0.0096888852	0.0086156433	0.0164764453	0.0104798698	0.0225927560	0.0125463243	0.0102170474	0.0097615275	0.0080739199	0.0146179217	0.0099417520	0.0086856811	0.0138101845	0.0099417520	0.0095729891	0.0093262395	0.0098214013	0.0088982039	0.0092458989	0.0101512557	0.0090613043	0.0092458989	0.0094475333	0.0073536511	0.0101512557	0.0088982039	0.0087606527	0.0083600368	0.0068397081	0.0110830440	-0.0024371070	0.0076057329	0.0068397081	0.0071082318	0.0089792290	0.0101512557	0.0093262395	0.0082257108
metab_313	0.0077813241	0.0088212964	0.0082257108	0.0076950019	0.0088982039	0.0074425224	0.0091853707	0.0098214013	0.0093262395	0.0087606527	0.0128129204	0.0108380044	0.0087606527	0.0091853707	0.0086856811	0.0107121936	0.0084202327	0.0062766005	0.0074425224	0.0093903816	0.0068397081	0.0097615275	0.0072694309	0.0073536511	0.0112620358	0.0106015900	0.0075266672	-0.0029727493	0.0071923365	0.0131275060	0.0102880150	0.0053353272	-0.0044268400	0.0089792290	0.0082257108	0.0122842585	0.0114910879	0.0070210687	0.0088982039	0.0113215068	0.0096353156	0.0107760128	0.0106015900	0.0084886924	0.0094475333	0.0066487575	0.0071923365	0.0080739199	0.0102880150	0.0091197623	0.0086856811	0.0071923365	0.0094475333	0.0084202327	0.0082257108	0.0080095008	0.0099417520	0.0119308215	0.0266192049	0.0136840174	0.0063704288	0.0059970735	0.0093262395	0.0094475333	0.0126782775	0.0072694309	0.0114910879	0.0065646547	0.0097615275	0.0080739199	0.0200302499	0.0085578962	0.0205053922	0.0121767064	0.0080095008	0.0082908074	0.0079401051	0.0071923365	0.0082257108	0.0079401051	0.0121767064	0.0089792290	0.0091197623	0.0093903816	0.0101512557	0.0082257108	0.0108974158	0.0087606527	0.0113800662	0.0088212964	0.0107121936	0.0074425224	0.0080095008	0.0086156433	0.0083600368	0.0086856811	0.0069345287	0.0096888852	-0.0028694225	0.0086856811	0.0072694309	0.0061937443	0.0103482174	0.0086156433	0.0133037054	0.0090613043
metab_314	0.0054326465	0.0082908074	0.0071082318	0.0063704288	0.0091197623	0.0062766005	0.0103482174	0.0100847277	0.0095729891	0.0106015900	0.0090613043	0.0078616319	0.0054326465	0.0061937443	0.0099417520	0.0099417520	0.0069345287	0.0059970735	0.0071082318	0.0076057329	0.0063704288	0.0100847277	0.0076057329	0.0071923365	0.0099417520	0.0098865129	0.0059970735	-0.0030599754	0.0059970735	0.0084202327	0.0093903816	0.0066487575	-0.0045176890	0.0083600368	0.0089792290	0.0079401051	0.0121154316	0.0067561340	0.0063704288	0.0055541037	0.0080095008	0.0076950019	0.0080739199	0.0082257108	0.0071923365	0.0060995675	0.0063704288	0.0061937443	0.0081486968	0.0074425224	0.0076950019	0.0054326465	0.0084886924	0.0076057329	0.0084886924	0.0076057329	0.0093903816	0.0097615275	0.0115480743	0.0086856811	0.0062766005	0.0054326465	0.0072694309	0.0091197623	0.0098865129	0.0049532363	0.0079401051	0.0052456342	0.0084886924	0.0061937443	0.0114338159	0.0071923365	0.0198950086	0.0134368185	0.0094475333	0.0095097566	0.0075266672	0.0075266672	0.0087606527	0.0072694309	0.0124798839	0.0082908074	0.0084202327	0.0088982039	0.0107121936	0.0078616319	0.0095729891	0.0088212964	0.0102170474	0.0087606527	0.0086156433	0.0069345287	0.0079401051	0.0080095008	0.0086856811	0.0065646547	0.0060995675	0.0085578962	-0.0029727493	0.0069345287	0.0054326465	0.0076057329	0.0088212964	0.0073536511	0.0089792290	0.0076057329
metab_315	0.0073536511	0.0093903816	0.0086856811	0.0086856811	0.0071923365	0.0071082318	0.0095729891	0.0110830440	0.0110830440	0.0097615275	0.0095097566	0.0079401051	0.0065646547	0.0071082318	0.0087606527	0.0134928795	0.0061937443	0.0058814075	0.0069345287	0.0079401051	0.0066487575	0.0091197623	0.0068397081	0.0072694309	0.0097615275	0.0090613043	0.0082908074	-0.0031386238	0.0070210687	0.0082257108	0.0086856811	0.0044348074	-0.0049196483	0.0084886924	0.0091197623	0.0076057329	0.0111382187	0.0076057329	0.0080739199	0.0057614846	0.0090613043	0.0073536511	0.0083600368	0.0091197623	0.0077813241	0.0061937443	0.0080095008	0.0095097566	0.0074425224	0.0094475333	0.0104210460	0.0066487575	0.0076950019	0.0072694309	0.0080095008	0.0072694309	0.0090613043	0.0091197623	0.0068397081	0.0078616319	0.0068397081	0.0074425224	0.0094475333	0.0092458989	0.0122351475	0.0065646547	0.0082257108	0.0057614846	0.0089792290	0.0067561340	0.0070210687	0.0091197623	0.0197694458	0.0111382187	0.0104798698	0.0091197623	0.0088982039	0.0082908074	0.0088982039	0.0062766005	0.0124153225	0.0102880150	0.0118622006	0.0096888852	0.0123523443	0.0090613043	0.0084886924	0.0091197623	0.0106603087	0.0082257108	0.0085578962	0.0095729891	0.0095729891	0.0083600368	0.0088212964	0.0071923365	0.0067561340	0.0098214013	-0.0032983713	0.0088212964	0.0063704288	0.0107760128	0.0087606527	0.0071082318	0.0070210687	0.0091853707
metab_316	0.0084886924	0.0146999258	0.0125463243	0.0111932473	0.0087606527	0.0091197623	0.0128129204	0.0253659843	0.0237017577	0.0148275209	0.0117264219	0.0093262395	0.0086856811	0.0142768793	0.0098214013	0.0244055291	0.0074425224	0.0069345287	0.0084202327	0.0102880150	0.0073536511	0.0104210460	0.0082908074	0.0081486968	0.0109609064	0.0108380044	0.0157574793	-0.0032075154	0.0095729891	0.0099417520	0.0163006330	0.0059970735	-0.0040955903	0.0099417520	0.0108974158	0.0088212964	0.0126782775	0.0096888852	0.0098865129	0.0079401051	0.0107121936	0.0083600368	0.0104798698	0.0105501133	0.0087606527	0.0070210687	0.0083600368	0.0108974158	0.0095097566	0.0110176763	0.0178759195	0.0084202327	0.0097615275	0.0085578962	0.0090613043	0.0090613043	0.0106015900	0.0099417520	0.0087606527	0.0095097566	0.0081486968	0.0070210687	0.0102880150	0.0100166276	0.0148275209	0.0107121936	0.0096353156	0.0069345287	0.0107760128	0.0100166276	0.0082257108	0.0114910879	0.0202506458	0.0139572596	0.0144012038	0.0106603087	0.0116624631	0.0111932473	0.0097615275	0.0076057329	0.0153466817	0.0154351271	0.0134928795	0.0099417520	0.0144709287	0.0116624631	0.0089792290	0.0106015900	0.0100166276	0.0101512557	0.0103482174	0.0138833772	0.0161441660	0.0089792290	0.0095097566	0.0080739199	0.0093903816	0.0132475220	-0.0032075154	0.0115480743	0.0089792290	0.0163006330	0.0099417520	0.0088212964	0.0080739199	0.0097615275
metab_317	0.0162206993	0.0184699191	0.0108380044	0.0124153225	0.0111932473	0.0126782775	0.0144709287	0.0227357851	0.0234856820	0.0138101845	0.0185785675	0.0183849570	0.0116624631	0.0108974158	0.0144012038	0.0224617756	0.0107121936	0.0101512557	0.0110176763	0.0104210460	0.0100847277	0.0149579058	0.0104210460	0.0131275060	0.0140267658	0.0134928795	0.0126782775	-0.0032748691	0.0104210460	0.0121154316	0.0221613273	0.0091853707	-0.0039589236	0.0140267658	0.0138833772	0.0099417520	0.0163006330	0.0131275060	0.0176612106	0.0121767064	0.0116624631	0.0100166276	0.0126782775	0.0148841892	0.0131275060	0.0128129204	0.0129902687	0.0179718681	0.0126782775	0.0159908512	0.0148841892	0.0093262395	0.0125463243	0.0100166276	0.0117883221	0.0106015900	0.0148841892	0.0115480743	0.0128129204	0.0100166276	0.0106015900	0.0102170474	0.0149579058	0.0116021383	0.0191574645	0.0111932473	0.0116021383	0.0087606527	0.0121767064	0.0132475220	0.0125463243	0.0173505056	0.0221613273	0.0166421177	0.0124153225	0.0124798839	0.0113800662	0.0116624631	0.0107121936	0.0100166276	0.0207681491	0.0202506458	0.0158454262	0.0102170474	0.0161441660	0.0156111207	0.0100166276	0.0140267658	0.0108974158	0.0108974158	0.0181663721	0.0190297792	0.0210511503	0.0107760128	0.0112620358	0.0136188744	0.0103482174	0.0171681775	-0.0030599754	0.0156111207	0.0143393943	0.0200302499	0.0126201635	0.0110830440	0.0122842585	0.0114910879
metab_318	0.0096888852	0.0127446401	0.0102170474	0.0094475333	0.0105501133	0.0098214013	0.0151143104	0.0163800634	0.0154351271	0.0154351271	0.0129289970	0.0113800662	0.0105501133	0.0095729891	0.0102880150	0.0159908512	0.0105501133	0.0086156433	0.0093903816	0.0111382187	0.0088212964	0.0129289970	0.0138833772	0.0085578962	0.0156845850	0.0111382187	0.0105501133	-0.0032983713	0.0089792290	0.0107760128	0.0151143104	0.0068397081	-0.0036098538	0.0118622006	0.0158454262	0.0091853707	0.0209137995	0.0113800662	0.0117264219	0.0085578962	0.0107760128	0.0096888852	0.0119308215	0.0131275060	0.0101512557	0.0086156433	0.0154351271	0.0134928795	0.0122842585	0.0113215068	0.0118622006	0.0087606527	0.0118622006	0.0098865129	0.0098214013	0.0099417520	0.0129289970	0.0133704204	0.0175617873	0.0095729891	0.0149579058	0.0077813241	0.0106015900	0.0109609064	0.0136188744	0.0089792290	0.0110176763	0.0067561340	0.0111932473	0.0098214013	0.0134368185	0.0111932473	0.0207681491	0.0155232043	0.0125463243	0.0107760128	0.0104798698	0.0111382187	0.0127446401	0.0098865129	0.0178759195	0.0138101845	0.0122351475	0.0154351271	0.0159207814	0.0105501133	0.0111382187	0.0124798839	0.0137422353	0.0178759195	0.0148275209	0.0129902687	0.0141462624	0.0109609064	0.0120497320	0.0129289970	0.0086856811	0.0166421177	-0.0034259842	0.0116624631	0.0093262395	0.0138833772	0.0119308215	0.0104798698	0.0137422353	0.0099417520
metab_319	0.0099417520	0.0131891399	0.0086156433	0.0098214013	0.0104798698	0.0102880150	0.0135574934	0.0110176763	0.0119869251	0.0153466817	0.0107760128	0.0118622006	0.0117264219	0.0086856811	0.0103482174	0.0123523443	0.0093262395	0.0079401051	0.0092458989	0.0106015900	0.0091853707	0.0119869251	0.0115480743	0.0107121936	0.0165537193	0.0130562852	0.0099417520	-0.0034259842	0.0085578962	0.0133704204	0.0151781328	0.0071082318	-0.0046619646	0.0114338159	0.0137422353	0.0086156433	0.0156111207	0.0133704204	0.0124798839	0.0095729891	0.0099417520	0.0099417520	0.0126201635	0.0138833772	0.0102170474	0.0072694309	0.0168094040	0.0184699191	0.0093262395	0.0114910879	0.0109609064	0.0096888852	0.0121767064	0.0098214013	0.0100847277	0.0096353156	0.0141462624	0.0157574793	0.0288529740	0.0105501133	0.0120497320	0.0076950019	0.0104210460	0.0108974158	0.0142768793	0.0092458989	0.0128129204	0.0088982039	0.0117264219	0.0112620358	0.0230643091	0.0121154316	0.0206335671	0.0163006330	0.0141462624	0.0119308215	0.0092458989	0.0102170474	0.0164764453	0.0107121936	0.0168945941	0.0157574793	0.0126782775	0.0104210460	0.0157574793	0.0101512557	0.0113800662	0.0126201635	0.0115480743	0.0130562852	0.0149579058	0.0127446401	0.0118622006	0.0108974158	0.0164764453	0.0110830440	0.0080739199	0.0169875591	-0.0035559792	0.0108380044	0.0091197623	0.0128129204	0.0125463243	0.0103482174	0.0144012038	0.0111382187
metab_320	0.0098865129	0.0156845850	0.0100847277	0.0093262395	0.0111382187	0.0101512557	0.0146179217	0.0108380044	0.0112620358	0.0134928795	0.0104798698	0.0126782775	0.0082257108	0.0083600368	0.0107121936	0.0126201635	0.0097615275	0.0076950019	0.0091197623	0.0133037054	0.0089792290	0.0129902687	0.0109609064	0.0114338159	0.0142768793	0.0103482174	0.0108974158	-0.0035140763	0.0084202327	0.0105501133	0.0117264219	0.0058814075	-0.0046379988	0.0113800662	0.0162206993	0.0100847277	0.0152632719	0.0115480743	0.0122351475	0.0091853707	0.0112620358	0.0094475333	0.0122351475	0.0113215068	0.0102880150	0.0084202327	0.0097615275	0.0111382187	0.0091197623	0.0111382187	0.0095097566	0.0098214013	0.0093903816	0.0096353156	0.0093903816	0.0092458989	0.0119869251	0.0121767064	0.0146179217	0.0104210460	0.0095097566	0.0080739199	0.0100166276	0.0097615275	0.0140267658	0.0086856811	0.0106015900	0.0080095008	0.0114910879	0.0084202327	0.0147673219	0.0091853707	0.0209137995	0.0140267658	0.0113215068	0.0198950086	0.0085578962	0.0113800662	0.0125463243	0.0111382187	0.0164764453	0.0134368185	0.0178759195	0.0133037054	0.0169875591	0.0106015900	0.0117883221	0.0119308215	0.0136840174	0.0133037054	0.0120497320	0.0166421177	0.0088982039	0.0100166276	0.0117883221	0.0105501133	0.0084202327	0.0120497320	-0.0014832325	0.0108974158	0.0077813241	0.0108974158	0.0128129204	0.0088982039	0.0108380044	0.0103482174
metab_321	0.0200302499	0.0221613273	0.0190297792	0.0116624631	0.0200302499	0.0135574934	0.0190297792	0.0163006330	0.0173505056	0.0205053922	0.0158454262	0.0177814952	0.0158454262	0.0134368185	0.0145418041	0.0200302499	0.0168945941	0.0149579058	0.0148841892	0.0156845850	0.0134368185	0.0206335671	0.0195238095	0.0190297792	0.0189078868	0.0161441660	0.0185785675	-0.0036098538	0.0165537193	0.0194085596	0.0201356671	0.0117264219	-0.0035559792	0.0191574645	0.0191574645	0.0163800634	0.0198950086	0.0210511503	0.0175617873	0.0163006330	0.0215933954	0.0174624788	0.0210511503	0.0182684706	0.0194085596	0.0141462624	0.0223250360	0.0186887648	0.0167208765	0.0174624788	0.0185785675	0.0153466817	0.0165537193	0.0144012038	0.0148841892	0.0169875591	0.0190297792	0.0168094040	0.0224617756	0.0153466817	0.0174624788	0.0229121943	0.0181663721	0.0128129204	0.0207681491	0.0177814952	0.0174624788	0.0168094040	0.0206335671	0.0197694458	0.0238628970	0.0178759195	0.0290656350	0.0181663721	0.0154351271	0.0639486463	0.0141462624	0.0177814952	0.0186887648	0.0150385759	0.0223250360	0.0217398725	0.0543958236	0.0139572596	0.0196428760	0.0177814952	0.0160749424	0.0210511503	0.0159908512	0.0191574645	0.0191574645	0.0179718681	0.0151781328	0.0163006330	0.0196428760	0.0174624788	0.0166421177	0.0194085596	0.0038732465	0.0153466817	0.0162206993	0.0159908512	0.0250292962	0.0142768793	0.0168945941	0.0149579058
metab_322	0.0338261858	0.0266192049	0.0292553574	0.0201356671	0.0248460530	0.0179718681	0.0262524087	0.0237017577	0.0240321867	0.0250292962	0.0181663721	0.0194085596	0.0253659843	0.0260547469	0.0144709287	0.0246226256	0.0223250360	0.0221613273	0.0200302499	0.0218982216	0.0168945941	0.0218982216	0.0234856820	0.0253659843	0.0260547469	0.0205053922	0.0244055291	-0.0035559792	0.0233492929	0.0250292962	0.0220382252	0.0181663721	-0.0032983713	0.0221613273	0.0233492929	0.0221613273	0.0203821019	0.0190297792	0.0218982216	0.0292553574	0.0332436515	0.0230643091	0.0250292962	0.0206335671	0.0230643091	0.0201356671	0.0322858228	0.0256925192	0.0246226256	0.0233492929	0.0230643091	0.0202506458	0.0227357851	0.0186887648	0.0205053922	0.0217398725	0.0246226256	0.0278474128	0.0492670889	0.0159207814	0.0278474128	0.0470524529	0.0225927560	0.0177814952	0.0251936120	0.0294477923	0.0240321867	0.0223250360	0.0270553514	0.0315401942	0.0380051781	0.0237017577	0.0260547469	0.0250292962	0.0168094040	0.0706011717	0.0146999258	0.0203821019	0.0230643091	0.0163006330	0.0244055291	0.0210511503	0.0341052544	0.0136840174	0.0237017577	0.0234856820	0.0156845850	0.0278474128	0.0165537193	0.0201356671	0.0218982216	0.0284318507	0.0230643091	0.0250292962	0.0168945941	0.0307918977	0.0294477923	0.0250292962	-0.0026827697	0.0185785675	0.0244055291	0.0186887648	0.0246226256	0.0209137995	0.0298841725	0.0166421177
metab_323	0.0260547469	0.0189078868	0.0258552778	0.0163800634	0.0181663721	0.0137422353	0.0270553514	0.0211875769	0.0202506458	0.0221613273	0.0120497320	0.0133704204	0.0177814952	0.0262524087	0.0113800662	0.0214439448	0.0141462624	0.0177814952	0.0138101845	0.0160749424	0.0229121943	0.0137422353	0.0162206993	0.0268493567	0.0148841892	0.0185785675	0.0196428760	-0.0035747009	0.0191574645	0.0117264219	0.0200302499	0.0170640398	-0.0040793693	0.0194085596	0.0177814952	0.0159908512	0.0101512557	0.0135574934	0.0163800634	0.0223250360	0.0303296731	0.0140804469	0.0146999258	0.0126201635	0.0154351271	0.0142768793	0.0251936120	0.0167208765	0.0168945941	0.0163800634	0.0203821019	0.0149579058	0.0169875591	0.0134368185	0.0179718681	0.0148275209	0.0173505056	0.0182684706	0.0258552778	0.0122842585	0.0262524087	0.0387464105	0.0155232043	0.0170640398	0.0195238095	0.0246226256	0.0149579058	0.0214439448	0.0192840549	0.0255165971	0.0183849570	0.0169875591	0.0262524087	0.0200302499	0.0181663721	0.0317659500	0.0102880150	0.0182684706	0.0189078868	0.0180673828	0.0290656350	0.0215933954	0.0165537193	0.0118622006	0.0207681491	0.0176612106	0.0117264219	0.0230643091	0.0171681775	0.0198950086	0.0186887648	0.0234856820	0.0211875769	0.0256925192	0.0169875591	0.0196428760	0.0200302499	0.0187810604	-0.0032748691	0.0195238095	0.0201356671	0.0172643335	0.0168094040	0.0136840174	0.0146999258	0.0153466817
